iter	Logloss
0	0.6828193317
1	0.671442558
2	0.6613911079
3	0.6517679665
4	0.6418102577
5	0.6319926149
6	0.6223624156
7	0.6130325471
8	0.6038112375
9	0.5950653412
10	0.5870746003
11	0.5797252695
12	0.5719316425
13	0.5638350332
14	0.5568029955
15	0.5491437024
16	0.5422986793
17	0.5356740496
18	0.5288739865
19	0.5219285932
20	0.5161998866
21	0.5107916317
22	0.5048387494
23	0.4995367528
24	0.4941019821
25	0.4879398977
26	0.4823282897
27	0.4769881961
28	0.4722371439
29	0.4674397669
30	0.4627475955
31	0.4581079098
32	0.4538147626
33	0.4497124514
34	0.4454609887
35	0.4413611731
36	0.4375085787
37	0.4337856778
38	0.4298064703
39	0.4265920496
40	0.4231116516
41	0.4193129857
42	0.4158599615
43	0.4129055129
44	0.4090520996
45	0.4060498445
46	0.4027670285
47	0.3996885794
48	0.3968871037
49	0.3936891774
50	0.3909652995
51	0.3879678017
52	0.3855202734
53	0.3827969804
54	0.3804159757
55	0.3779319102
56	0.3758257342
57	0.3736031226
58	0.3712901231
59	0.3692596733
60	0.3673906581
61	0.3656188936
62	0.3636552012
63	0.3616678396
64	0.3590802843
65	0.3572587246
66	0.3550274564
67	0.3531080611
68	0.3515460056
69	0.3501297482
70	0.348750769
71	0.3472862762
72	0.3455370891
73	0.3437424742
74	0.342350666
75	0.3405845556
76	0.3392925326
77	0.3378364235
78	0.3363903748
79	0.3351706075
80	0.3337061147
81	0.3323387167
82	0.3310492284
83	0.3298310208
84	0.3285933164
85	0.3274164424
86	0.3261630819
87	0.3250815674
88	0.3239986491
89	0.3227887278
90	0.3216947157
91	0.3206152094
92	0.3195078225
93	0.3182007089
94	0.3169825404
95	0.3158124903
96	0.3146530856
97	0.3134498127
98	0.3124978748
99	0.3114503045
