iter	Passed	Remaining
0	93	9305
1	194	9550
2	283	9155
3	381	9153
4	473	8988
5	568	8901
6	655	8710
7	749	8613
8	843	8528
9	937	8440
10	1031	8345
11	1122	8234
12	1221	8177
13	1320	8114
14	1419	8042
15	1502	7889
16	1597	7799
17	1695	7722
18	1790	7631
19	1875	7503
20	1973	7424
21	2068	7333
22	2167	7257
23	2264	7169
24	2360	7080
25	2450	6973
26	2546	6883
27	2643	6796
28	2738	6704
29	2836	6618
30	2936	6535
31	3033	6446
32	3134	6364
33	3225	6261
34	3324	6174
35	3417	6074
36	3513	5983
37	3595	5866
38	3696	5781
39	3788	5683
40	3880	5584
41	3966	5477
42	4063	5385
43	4162	5298
44	4254	5199
45	4349	5106
46	4435	5001
47	4533	4911
48	4630	4819
49	4729	4729
50	4823	4634
51	4918	4539
52	5020	4452
53	5108	4352
54	5206	4260
55	5300	4164
56	5393	4068
57	5488	3974
58	5584	3880
59	5678	3785
60	5772	3690
61	5871	3598
62	5968	3505
63	6063	3410
64	6159	3316
65	6254	3222
66	6352	3128
67	6452	3036
68	6542	2939
69	6635	2843
70	6720	2745
71	6816	2650
72	6907	2554
73	7009	2462
74	7097	2365
75	7192	2271
76	7288	2177
77	7373	2079
78	7465	1984
79	7553	1888
80	7651	1794
81	7736	1698
82	7831	1603
83	7925	1509
84	8023	1415
85	8119	1321
86	8205	1226
87	8299	1131
88	8399	1038
89	8500	944
90	8592	849
91	8689	755
92	8788	661
93	8884	567
94	8977	472
95	9068	377
96	9160	283
97	9257	188
98	9357	94
99	9458	0
